2 1 66	5.1668905652578275e-05 0.0010438413361169101
53 30 18 18	0.03809365677652081 0.03653444676409186
53 30 18 83	0.03801227181462192 0.03653444676409186
53 30 27 27	0.16091954022988506 0.03549060542797495
53 30 27 92	0.16292134831460675 0.03549060542797495
53 30 34 30	0.33136094674556216 0.03653444676409186
53 30 45 110	0.019740371204806352 0.03653444676409186
53 30 83 18	0.04547196745345113 0.03653444676409186
53 30 83 83	0.04481505437690938 0.03653444676409186
53 30 85 12	0.05019305019305019 0.019832985386221295
53 30 85 20	0.7838764012313412 0.03966597077244259
53 30 85 39	0.006653788366602275 0.030271398747390398
53 30 86 21	0.7367168913560667 0.03966597077244259
53 30 86 53	0.08150470219435736 0.013569937369519834
53 30 92 92	0.18505338078291814 0.03549060542797495
53 30 95	0.0011813349084465446 0.0010438413361169101
53 30 95 30	0.4463171036204744 0.038622129436325675
53 30 104 20	0.6744186046511628 0.030271398747390398
53 30 104 39	0.8260869565217391 0.030271398747390398
53 30 105 20	0.7441860465116279 0.033402922755741124
53 30 105 40	0.6934306569343066 0.03444676409185804
53 30 126 21	0.7317073170731707 0.031315240083507306
53 30 126 61	0.6807017543859649 0.03444676409185804
53 33 98 30	1.0 0.0020876826722338203
53 45 110	0.027138643067846607 0.0041753653444676405
53 45 110 18	0.02242106029075696 0.0041753653444676405
53 45 110 83	0.02266163644649181 0.0041753653444676405
53 52	0.2222222222222222 0.008350730688935281
53 52 18 18	0.03224874192144809 0.007306889352818371
53 52 27 27	0.20408163265306123 0.007306889352818371
53 52 27 83	0.023833167825223437 0.007306889352818371
53 52 30 117	0.5 0.0010438413361169101
53 52 45 110	0.016739446870451237 0.007306889352818371
53 52 77 12	0.5217391304347826 0.006263048016701462
53 52 83 18	0.045772643273366255 0.009394572025052192
53 52 85 20	0.8503922967189729 0.010438413361169102
53 52 86 21	0.445859872611465 0.009394572025052192
53 52 92 83	0.024855747891699954 0.007306889352818371
53 52 92 92	0.20333333333333334 0.007306889352818371
53 52 95 30	0.5633116883116883 0.009394572025052192
53 52 104 39	0.45 0.006263048016701462
53 52 105 40	0.3627450980392157 0.007306889352818371
53 52 126 61	0.39631336405529954 0.007306889352818371
53 77 12	0.01838235294117647 0.006263048016701462
53 77 12 18	0.01125703564727955 0.012526096033402923
53 77 12 30	0.2504 0.026096033402922755
53 77 12 52	0.18361303060217177 0.007306889352818371
53 77 12 99	0.21961752004935226 0.028183716075156576
53 77 20	0.568561872909699 0.03444676409185804
53 77 20 18	0.0190864832057027 0.013569937369519834
53 77 35 80	0.004799350241813416 0.019832985386221295
53 83 18	0.04268981928349338 0.0041753653444676405
53 83 18 18	0.054975253959068125 0.0041753653444676405
53 83 18 27	0.02389833346506757 0.0041753653444676405
53 83 18 83	0.05296860106746909 0.0041753653444676405
53 83 18 92	0.023181210142673846 0.0041753653444676405
53 83 27 18	0.035961257340622194 0.0041753653444676405
53 83 45 110	0.013682109290526491 0.0041753653444676405
53 83 83	0.043001086742361715 0.0041753653444676405
53 83 83 18	0.058051341767668206 0.0041753653444676405
53 83 83 83	0.05771518655257229 0.0041753653444676405
53 83 83 92	0.021559526507634603 0.0041753653444676405
53 83 85 20	0.0019433827816285549 0.0041753653444676405
53 83 86 21	0.06640432857845549 0.0041753653444676405
53 83 92 83	0.03559800737742842 0.0041753653444676405
53 85 12 30	0.36923076923076925 0.0041753653444676405
53 85 12 99	0.2 0.0041753653444676405
53 85 20	0.6742424242424242 0.0041753653444676405
53 85 35 80	0.007694189935020798 0.0041753653444676405
53 85 39	0.007547169811320755 0.0041753653444676405
53 85 39 30	0.37918871252204583 0.0041753653444676405
53 85 39 99	0.18309859154929578 0.0041753653444676405
53 85 40 30	0.4481203007518797 0.0041753653444676405
53 85 40 99	0.1949367088607595 0.0041753653444676405
53 85 73 20	0.56 0.0041753653444676405
53 86 21	0.6354300385109114 0.005219206680584551
53 86 21 27	0.059170013386880854 0.0020876826722338203
53 86 21 83	0.03837381243728331 0.0041753653444676405
53 86 53	0.23076923076923078 0.005219206680584551
53 86 53 30	1.0 0.0020876826722338203
53 86 53 99	1.0 0.0020876826722338203
53 86 61	0.21359223300970873 0.0041753653444676405
53 86 75 20	0.6 0.0020876826722338203
53 92 18	0.022988505747126436 0.0020876826722338203
53 92 27 30	0.9090909090909091 0.010438413361169102
53 92 30	1.0 0.010438413361169102
53 92 92 30	0.9090909090909091 0.010438413361169102
53 92 104 20	0.5612244897959183 0.010438413361169102
53 92 105 20	0.7103448275862069 0.010438413361169102
53 92 126 21	0.19402985074626866 0.003131524008350731
53 93 28 30	0.2539432176656151 0.022964509394572025
53 93 28 52	0.20214669051878353 0.007306889352818371
53 93 28 99	0.22041763341067286 0.024008350730688934
53 93 30	0.9152542372881356 0.021920668058455117
53 93 75 20	0.36257309941520466 0.019832985386221295
53 93 75 21	0.7162162162162162 0.015657620041753653
53 93 75 53	0.08536585365853659 0.010438413361169102
53 93 110 20	0.4067357512953368 0.005219206680584551
53 95 27 30	0.896551724137931 0.0041753653444676405
53 95 27 99	1.0 0.0020876826722338203
53 95 30	0.6903765690376569 0.0041753653444676405
53 95 30 18	0.03091676013839081 0.0041753653444676405
53 95 75 20	0.8181818181818182 0.0041753653444676405
53 95 99	0.15384615384615385 0.0041753653444676405
53 95 105 20	0.58203125 0.0041753653444676405
53 95 118 21	1.0 0.0020876826722338203
53 99	0.3888888888888889 0.029227557411273485
53 99 15 80	0.03328050713153724 0.019832985386221295
53 99 18 18	0.03348794196313566 0.028183716075156576
53 99 18 27	0.012796307950492972 0.013569937369519834
53 99 18 83	0.03383588725422048 0.028183716075156576
53 99 18 92	0.01229914699464392 0.013569937369519834
53 99 34 30	0.28125 0.025052192066805846
53 99 34 99	0.23825503355704697 0.029227557411273485
53 99 45 110	0.017360955747460736 0.028183716075156576
53 99 77 12	0.3246753246753247 0.012526096033402923
53 99 83 18	0.035957983651255264 0.029227557411273485
53 99 83 83	0.03798142420710514 0.028183716075156576
53 99 83 92	0.012509928514694202 0.013569937369519834
53 99 85 12	0.04496124031007752 0.012526096033402923
53 99 85 20	0.5459325516741206 0.030271398747390398
53 99 85 40	0.007538951248115262 0.022964509394572025
53 99 86 21	0.32096857290056674 0.030271398747390398
53 99 86 30	0.5287356321839081 0.015657620041753653
53 99 86 61	0.11691022964509394 0.024008350730688934
53 99 92 27	0.15432098765432098 0.024008350730688934
53 99 95	0.0015455950540958269 0.0010438413361169101
53 99 95 30	0.44417357386640666 0.029227557411273485
53 99 95 52	0.06329113924050633 0.008350730688935281
53 99 104 20	0.42857142857142855 0.025052192066805846
53 99 104 39	0.5882352941176471 0.025052192066805846
53 99 105 20	0.4519230769230769 0.026096033402922755
53 99 117	0.014705882352941176 0.0010438413361169101
53 99 117 30	0.2198581560283688 0.009394572025052192
53 99 118 21	1.0 0.009394572025052192
53 99 122 57	0.6666666666666666 0.005219206680584551
53 99 126 61	0.45098039215686275 0.028183716075156576
53 104 12	0.04225352112676056 0.0020876826722338203
53 104 12 99	0.1337579617834395 0.009394572025052192
53 104 20	0.6769292283086765 0.04801670146137787
53 104 20 18	0.03153241339969614 0.019832985386221295
53 104 20 27	0.1504179451909851 0.009394572025052192
53 104 20 83	0.03160805640267684 0.019832985386221295
53 104 20 95	0.0011905886799584238 0.0010438413361169101
53 104 20 117	0.031072602330445176 0.0010438413361169101
53 104 35 80	0.011201048608805931 0.026096033402922755
53 104 39	0.003438243850833113 0.005219206680584551
53 104 39 30	0.29388403494837173 0.03444676409185804
53 104 39 52	0.23752310536044363 0.008350730688935281
53 104 39 99	0.24220686057127952 0.029227557411273485
53 104 40	0.005245901639344262 0.008350730688935281
53 104 40 30	0.26550131926121373 0.033402922755741124
53 104 40 52	0.22086570477247502 0.008350730688935281
53 104 40 99	0.22394613583138173 0.032359081419624215
53 104 45 30	0.8326530612244898 0.006263048016701462
53 104 57	0.0035087719298245615 0.003131524008350731
53 104 96 21	1.0 0.009394572025052192
53 105 10 30	0.96 0.016701461377870562
53 105 12	0.015789473684210527 0.003131524008350731
53 105 12 30	0.26181818181818184 0.024008350730688934
53 105 12 99	0.19218241042345277 0.028183716075156576
53 105 20	0.7879805897723031 0.049060542797494784
53 105 20 83	0.022300210278311233 0.017745302713987474
53 105 20 95	0.0007101865136298421 0.0010438413361169101
53 105 20 117	0.029292929292929294 0.0010438413361169101
53 105 35 80	0.00903039424640653 0.026096033402922755
53 105 39	0.008787346221441126 0.010438413361169102
53 105 39 30	0.29975227085053674 0.03549060542797495
53 105 39 52	0.22686322686322685 0.010438413361169102
53 105 39 99	0.24067164179104478 0.03653444676409186
53 105 40	0.003647586980920314 0.005219206680584551
53 105 40 30	0.2968249043334368 0.037578288100208766
53 105 40 52	0.2252517253082928 0.008350730688935281
53 105 40 99	0.25348561257787006 0.029227557411273485
53 105 45 21	1.0 0.013569937369519834
53 105 58 20	0.6176470588235294 0.013569937369519834
53 105 67 21	0.24561403508771928 0.018789144050104383
53 105 69 21	0.5 0.008350730688935281
53 105 123 20	0.5068493150684932 0.017745302713987474
53 117 28 30	0.2894736842105263 0.007306889352818371
53 117 30	0.9433962264150944 0.007306889352818371
53 117 52 30	0.2764227642276423 0.009394572025052192
53 117 52 99	0.22935779816513763 0.010438413361169102
53 117 110 20	0.4579310344827586 0.007306889352818371
53 118 21	0.9819277108433735 0.05741127348643006
53 118 30	0.9298245614035088 0.024008350730688934
53 118 53	0.031141868512110725 0.005219206680584551
53 118 53 30	0.3544715447154472 0.037578288100208766
53 118 53 52	0.20697167755991286 0.008350730688935281
53 118 53 99	0.3005917159763314 0.029227557411273485
53 118 110 20	1.0 0.018789144050104383
53 121 30	1.0 0.0020876826722338203
53 124 30	1.0 0.0041753653444676405
53 124 59 99	0.2 0.0041753653444676405
53 126 21	0.4685714285714286 0.024008350730688934
53 126 61	0.16260162601626016 0.007306889352818371
53 126 61 52	0.231935771632471 0.008350730688935281
53 126 61 99	0.16784452296819788 0.021920668058455117
55 12	1.0 0.0010438413361169101
55 12 83 18	0.03023118736113349 0.0010438413361169101
55 12 85 20	0.9313566206336312 0.0010438413361169101
55 12 86 21	0.6633858267716536 0.0010438413361169101
55 20	0.5714285714285714 0.0041753653444676405
55 20 18 18	0.04135263177651251 0.007306889352818371
55 20 27 18	0.03018867924528302 0.006263048016701462
55 20 83 18	0.038454818389216036 0.007306889352818371
55 20 83 92	0.028051948051948054 0.006263048016701462
55 20 85 20	0.6279938848309835 0.007306889352818371
55 20 86 21	0.7473170731707317 0.006263048016701462
55 20 95 30	0.5186385737439222 0.006263048016701462
55 35 80 27	0.00207131232430833 0.003131524008350731
55 40 105 20	0.35377358490566035 0.0020876826722338203
55 46 111 20	0.07237386269644334 0.0041753653444676405
55 57 122 20	0.8529411764705882 0.0010438413361169101
55 69 21	0.7368421052631579 0.005219206680584551
61	0.26181818181818184 0.07515657620041753
61 1 66	0.018779342723004695 0.014613778705636743
61 1 66 18	0.024328707875292847 0.019832985386221295
61 1 121	0.08333333333333333 0.0010438413361169101
61 15 80	0.009864094695309075 0.081419624217119
61 15 80 27	0.0042350198070448845 0.10960334029227557
61 15 80 30	0.06722174605118159 0.09707724425887265
61 15 80 83	0.057708161582852434 0.12630480167014613
61 15 80 99	0.09970674486803519 0.06889352818371608
61 15 100 12	0.021739130434782608 0.05219206680584551
61 15 100 20	0.42152864757799074 0.12630480167014613
61 15 100 39	0.0038535645472061657 0.06784968684759916
61 15 100 40	0.0005431093007467753 0.014613778705636743
61 18	0.016940829855143627 0.060542797494780795
61 18 18	0.03549556625142859 0.1409185803757829
61 18 18 18	0.038350053796807795 0.1409185803757829
61 18 18 27	0.015903862525710202 0.12526096033402923
61 18 18 83	0.038617295075236584 0.1409185803757829
61 18 18 92	0.016257927465063042 0.12526096033402923
61 18 19 84	0.01963029937713482 0.09603340292275574
61 18 27	0.035223559951662715 0.11899791231732777
61 18 27 18	0.0329310316529183 0.1336116910229645
61 18 27 27	0.05368802451541994 0.12108559498956159
61 18 27 83	0.03143279036561411 0.1336116910229645
61 18 27 92	0.03922544360319682 0.12212943632567849
61 18 45 83	0.03313840155945419 0.0041753653444676405
61 18 45 110	0.01810811133749318 0.1409185803757829
61 18 77 12	0.07442940820036356 0.0824634655532359
61 18 77 20	0.11133480974431247 0.08350730688935282
61 18 83	0.03617711783281184 0.1409185803757829
61 18 83 18	0.04050924708112689 0.1409185803757829
61 18 83 27	0.03188900729200362 0.12526096033402923
61 18 83 83	0.041030868636174826 0.1409185803757829
61 18 83 92	0.033224227320781244 0.12526096033402923
61 18 85 20	0.10988951688853656 0.13569937369519833
61 18 85 40	0.0019794853338132084 0.10647181628392484
61 18 86 21	0.23025879230258792 0.1325678496868476
61 18 86 30	0.1 0.060542797494780795
61 18 86 61	0.06337913651516383 0.11064718162839249
61 18 92	0.03307205432367859 0.11899791231732777
61 18 92 18	0.030723245750028546 0.1336116910229645
61 18 92 27	0.05139274303628482 0.12421711899791232
61 18 92 83	0.0300622351790912 0.1336116910229645
61 18 92 92	0.03629504897774305 0.12004175365344467
61 18 95 21	0.11484677179410889 0.07724425887265135
61 18 95 30	0.048675288838617055 0.12212943632567849
61 18 104 20	0.07438180019782394 0.08037578288100208
61 18 104 39	0.058212626400655915 0.05219206680584551
61 18 104 40	0.001484230055658627 0.0041753653444676405
61 18 105 20	0.10193630980956953 0.07306889352818371
61 18 105 40	0.06443684547980337 0.05741127348643006
61 18 110 83	0.05343915343915344 0.005219206680584551
61 18 126 21	0.21667177444069874 0.12839248434237996
61 18 126 61	0.060390908719957566 0.10751565762004175
61 19 84	0.03509833585476551 0.0709812108559499
61 19 84 83	0.04496578869923484 0.08559498956158663
61 27	0.06666666666666667 0.033402922755741124
61 27 18	0.06403878045669091 0.11169102296450939
61 27 18 18	0.02978281514586756 0.11691022964509394
61 27 18 27	0.060449478242681064 0.11064718162839249
61 27 18 83	0.02829340212990666 0.11691022964509394
61 27 18 92	0.05988494521927549 0.11064718162839249
61 27 27	0.24768280123583933 0.09290187891440502
61 27 27 18	0.04396330953826401 0.11377870563674322
61 27 27 27	0.15236142533936653 0.0918580375782881
61 27 27 52	0.11363636363636363 0.016701461377870562
61 27 27 83	0.04329449196600629 0.11377870563674322
61 27 27 99	0.6666666666666666 0.0010438413361169101
61 27 45 110	0.024595375489935695 0.11691022964509394
61 27 83	0.06389633601429848 0.11169102296450939
61 27 83 18	0.034123963160394094 0.11691022964509394
61 27 83 27	0.07540887805553206 0.11064718162839249
61 27 83 83	0.03337895574391947 0.11691022964509394
61 27 83 92	0.07770941788925698 0.11064718162839249
61 27 85 20	0.2870695933897581 0.10334029227557412
61 27 86 21	0.4857011070110701 0.09290187891440502
61 27 86 30	0.36907216494845363 0.03653444676409186
61 27 86 61	0.14092927912538436 0.06680584551148225
61 27 92	0.2373959862946647 0.09290187891440502
61 27 92 18	0.0482675634036074 0.11691022964509394
61 27 92 27	0.12310380631600273 0.09394572025052192
61 27 92 30	0.14345991561181434 0.028183716075156576
61 27 92 92	0.1211059810009022 0.09394572025052192
61 27 92 99	0.21739130434782608 0.0041753653444676405
61 27 95 30	0.07732434291081702 0.08977035490605428
61 27 95 99	0.023178807947019868 0.017745302713987474
61 27 122 57	0.22641509433962265 0.026096033402922755
61 27 126 21	0.48597595878649114 0.08559498956158663
61 30	0.18382352941176472 0.0511482254697286
61 30 1 66	0.022119815668202765 0.007306889352818371
61 30 18 18	0.04377732004958436 0.07620041753653445
61 30 18 27	0.028652064543837046 0.0720250521920668
61 30 18 83	0.04204265363453378 0.07620041753653445
61 30 27	0.0407673860911271 0.017745302713987474
61 30 27 18	0.03497848182400879 0.06993736951983298
61 30 27 83	0.03495994173343044 0.0720250521920668
61 30 27 92	0.1512297226582941 0.06993736951983298
61 30 34 52	0.03333333333333333 0.007306889352818371
61 30 34 99	0.11346444780635401 0.06889352818371608
61 30 45 110	0.033892339544513456 0.07933194154488518
61 30 77 12	0.37567567567567567 0.04801670146137787
61 30 83	0.009530791788856305 0.027139874739039668
61 30 83 18	0.05751554662967439 0.07620041753653445
61 30 83 27	0.039208387617097835 0.06993736951983298
61 30 83 83	0.05709353384102875 0.07620041753653445
61 30 83 92	0.03805979109136751 0.06993736951983298
61 30 85 20	0.3591170279342322 0.1022964509394572
61 30 85 39	0.0035727896341463416 0.061586638830897704
61 30 85 40	0.002066115702479339 0.03549060542797495
61 30 86 21	0.699546662498046 0.07724425887265135
61 30 86 30	0.5775862068965517 0.0511482254697286
61 30 86 61	0.22129086336965634 0.06263048016701461
61 30 92 27	0.1485489424495819 0.06889352818371608
61 30 92 92	0.14989837398373984 0.06889352818371608
61 30 95 21	0.5601659751037344 0.0511482254697286
61 30 95 28	0.008086253369272238 0.003131524008350731
61 30 95 30	0.40672563550880547 0.07515657620041753
61 30 95 52	0.013634426927993182 0.009394572025052192
61 30 95 99	0.1055393586005831 0.06784968684759916
61 30 105 20	0.12363636363636364 0.015657620041753653
61 30 118 53	0.9705882352941176 0.03444676409185804
61 30 126 21	0.6932650073206442 0.06784968684759916
61 30 126 61	0.5805415328132171 0.05323590814196242
61 33 98	0.13659793814432988 0.028183716075156576
61 33 98 27	0.14468503937007873 0.022964509394572025
61 33 98 83	0.033047911393541206 0.03966597077244259
61 34 15 80	0.005220417633410673 0.027139874739039668
61 34 30	0.18181818181818182 0.04384133611691023
61 34 30 18	0.01826923076923077 0.055323590814196244
61 34 52	0.02857142857142857 0.005219206680584551
61 34 77 20	0.3077459874389393 0.08350730688935282
61 34 99	0.25754060324825984 0.06889352818371608
61 34 99 83	0.017659574468085106 0.07724425887265135
61 34 104 20	0.2943813131313131 0.09916492693110647
61 34 105 20	0.42108103246694845 0.10020876826722339
61 34 126 21	0.6335776149233844 0.081419624217119
61 45 108 20	0.06598806598806599 0.0918580375782881
61 45 110	0.031447206530223454 0.1409185803757829
61 45 110 18	0.03718672065522344 0.1409185803757829
61 45 110 27	0.03792010763809207 0.12526096033402923
61 45 110 83	0.037165200342466925 0.1409185803757829
61 45 110 92	0.03757600915120078 0.12526096033402923
61 52	0.036458333333333336 0.007306889352818371
61 52 18 18	0.021516948618598077 0.009394572025052192
61 52 18 83	0.01990396560731562 0.009394572025052192
61 52 27 92	0.10891089108910891 0.007306889352818371
61 52 83 18	0.030528286786712183 0.032359081419624215
61 52 83 83	0.029966217547726694 0.018789144050104383
61 52 85 20	0.19353345675747158 0.027139874739039668
61 52 86 21	0.28773584905660377 0.013569937369519834
61 52 95	0.0024330900243309003 0.0020876826722338203
61 52 95 52	0.058365758754863814 0.007306889352818371
61 52 117 30	0.15514809590973203 0.037578288100208766
61 52 117 99	0.1330603889457523 0.04697286012526096
61 52 128 57	0.9565217391304348 0.022964509394572025
61 77 12	0.09948208890807078 0.08455114822546973
61 77 12 18	0.03657324117034372 0.1304801670146138
61 77 12 27	0.09030256012412723 0.06993736951983298
61 77 12 30	0.06336260978670012 0.07411273486430063
61 77 12 52	0.014202282983806743 0.010438413361169102
61 77 12 83	0.035791229411355895 0.1304801670146138
61 77 12 99	0.10758620689655173 0.06680584551148225
61 77 20	0.3194444444444444 0.16075156576200417
61 77 20 18	0.030648460551694186 0.20876826722338204
61 77 20 83	0.030546539010574362 0.21085594989561587
61 77 35 80	0.0027028376674448507 0.07828810020876827
61 77 39 30	0.12074303405572756 0.04488517745302714
61 77 40 30	0.12387483926275182 0.06680584551148225
61 77 40 99	0.11937788986969315 0.0824634655532359
61 77 67 21	0.4004884004884005 0.07828810020876827
61 77 67 61	0.044337926902336726 0.055323590814196244
61 77 109 12	0.021848739495798318 0.013569937369519834
61 83	0.01681696319766025 0.060542797494780795
61 83 18	0.043213424910098545 0.14613778705636743
61 83 18 18	0.043975286537295585 0.14718162839248433
61 83 18 27	0.03262744029606187 0.1315240083507307
61 83 18 83	0.04223826226096725 0.14718162839248433
61 83 18 92	0.03372831813166919 0.1315240083507307
61 83 27	0.038525963149078725 0.11899791231732777
61 83 27 18	0.044302432108294015 0.13465553235908143
61 83 27 27	0.04939275684744156 0.12108559498956159
61 83 27 83	0.04520299653128647 0.13465553235908143
61 83 27 92	0.04894314947972107 0.12212943632567849
61 83 45 110	0.018120896591321923 0.14718162839248433
61 83 77 12	0.07411504424778761 0.0824634655532359
61 83 77 20	0.11086607858861267 0.08350730688935282
61 83 83	0.043217223901803076 0.1440501043841336
61 83 83 18	0.03605347956371537 0.14718162839248433
61 83 83 27	0.02963631771220856 0.12943632567849686
61 83 83 83	0.03450551391474486 0.14718162839248433
61 83 83 92	0.031068701116902322 0.12943632567849686
61 83 85 12	0.021837629057416624 0.11169102296450939
61 83 85 20	0.10939691803287073 0.13778705636743216
61 83 85 40	0.001972906394925348 0.10647181628392484
61 83 86 21	0.2299856773338464 0.1325678496868476
61 83 86 30	0.1 0.060542797494780795
61 83 86 61	0.06324543610547667 0.11064718162839249
61 83 92	0.037938318546683565 0.11899791231732777
61 83 92 18	0.04085558574605629 0.13465553235908143
61 83 92 27	0.049199586883552804 0.12421711899791232
61 83 92 52	0.12965964343598055 0.03653444676409186
61 83 92 83	0.041998475035253995 0.13465553235908143
61 83 92 92	0.04764347374175739 0.12004175365344467
61 83 95 30	0.04855187985782432 0.12212943632567849
61 83 95 95	0.002204261572373255 0.0020876826722338203
61 83 104 20	0.07439651760981401 0.08037578288100208
61 83 105 40	0.06400594416728585 0.05741127348643006
61 83 126 21	0.21667177444069874 0.12839248434237996
61 83 126 61	0.06014945485728286 0.10751565762004175
61 84	0.05194805194805195 0.0041753653444676405
61 84 18	0.03530877873165328 0.0020876826722338203
61 84 18 18	0.006605370812811019 0.005219206680584551
61 84 18 27	0.04112178374416541 0.005219206680584551
61 84 18 83	0.006207886081072236 0.005219206680584551
61 84 18 92	0.040767246562324236 0.005219206680584551
61 84 19 84	0.022057001239157374 0.0041753653444676405
61 84 27 18	0.03550674602974604 0.005219206680584551
61 84 27 83	0.034783961927901966 0.005219206680584551
61 84 27 92	0.017897091722595078 0.0041753653444676405
61 84 30	0.16 0.0020876826722338203
61 84 45 110	0.01125720195006648 0.005219206680584551
61 84 83	0.03397597977243995 0.0020876826722338203
61 84 83 18	0.007749885622306366 0.005219206680584551
61 84 83 83	0.0077248143912718465 0.005219206680584551
61 84 85 20	0.48556521739130437 0.005219206680584551
61 84 86 21	0.3780241935483871 0.005219206680584551
61 84 92	0.008403361344537815 0.0020876826722338203
61 84 92 18	0.0285075887306763 0.005219206680584551
61 84 92 27	0.020844761382336808 0.0041753653444676405
61 84 92 92	0.02014218009478673 0.0041753653444676405
61 84 95 30	0.3415435139573071 0.0041753653444676405
61 84 99	1.0 0.0010438413361169101
61 84 104 39	0.3707865168539326 0.003131524008350731
61 85 1	0.007466401194624191 0.015657620041753653
61 85 1 66	0.0005287840567272601 0.017745302713987474
61 85 8 20	0.7632677400119261 0.07724425887265135
61 85 12	0.09602076124567474 0.05845511482254697
61 85 12 30	0.1946647440519106 0.0720250521920668
61 85 12 83	0.05331892281365397 0.0720250521920668
61 85 16 30	0.8661735036987223 0.0824634655532359
61 85 20	0.7372732664459052 0.12108559498956159
61 85 20 18	0.049286780095814546 0.13883089770354906
61 85 20 27	0.13922069876543433 0.10751565762004175
61 85 20 83	0.045739517053285245 0.13987473903966596
61 85 20 92	0.1259726677255649 0.10751565762004175
61 85 23 20	0.7596412556053812 0.07620041753653445
61 85 35 80	0.004020723168425223 0.06471816283924843
61 85 39	0.008977305372019535 0.06367432150313153
61 85 39 30	0.29070131496556045 0.08559498956158663
61 85 39 52	0.04245503777495487 0.022964509394572025
61 85 39 99	0.1603011982767983 0.10020876826722339
61 85 40	0.01297516892592132 0.05636743215031315
61 85 40 18	0.06110071393914189 0.0720250521920668
61 85 40 30	0.3046784715750233 0.09812108559498957
61 85 40 52	0.04450652979013709 0.020876826722338204
61 85 40 83	0.05995782886682084 0.0720250521920668
61 85 40 99	0.15683664892126647 0.09290187891440502
61 85 43 21	0.9830188679245283 0.04592901878914405
61 85 43 30	0.9489164086687306 0.061586638830897704
61 85 43 110	0.01013534392188369 0.09707724425887265
61 85 45 30	0.5231447465099192 0.0918580375782881
61 85 57	0.0033660589060308557 0.022964509394572025
61 85 67 21	0.7189250783401386 0.12108559498956159
61 85 67 61	0.1545350920045595 0.08663883089770355
61 85 69 21	0.7755905511811023 0.08559498956158663
61 85 69 61	0.21811460258780038 0.07828810020876827
61 85 73 20	0.7632677400119261 0.07724425887265135
61 85 79 21	0.9710144927536232 0.038622129436325675
61 85 88 20	0.7589605734767025 0.07620041753653445
61 85 109 20	0.49335863377609107 0.05010438413361169
61 85 115 20	0.631 0.06471816283924843
61 85 123 20	0.6807639836289222 0.06576200417536535
61 86 2 20	0.5224457173304915 0.1022964509394572
61 86 2 40	0.0059159314997405295 0.03444676409185804
61 86 4 20	0.5981754995655951 0.08455114822546973
61 86 21	0.727256843331392 0.12630480167014613
61 86 21 18	0.040993281035077385 0.12943632567849686
61 86 21 27	0.18729469604607135 0.1022964509394572
61 86 21 83	0.04162808952673718 0.12943632567849686
61 86 21 92	0.16860533595074506 0.1022964509394572
61 86 30	0.7155425219941349 0.060542797494780795
61 86 30 18	0.019583354148973373 0.06680584551148225
61 86 53	0.23783783783783785 0.022964509394572025
61 86 53 30	0.45454545454545453 0.016701461377870562
61 86 61	0.2052475666525603 0.09290187891440502
61 86 61 18	0.04809943315313332 0.11482254697286012
61 86 61 27	0.13239090870614129 0.06889352818371608
61 86 61 30	0.1544461778471139 0.06263048016701461
61 86 61 83	0.047122546823935366 0.11482254697286012
61 86 61 92	0.11785095320623917 0.06889352818371608
61 86 61 99	0.10767814882987116 0.06784968684759916
61 86 108 20	0.9283185840707965 0.05323590814196242
61 86 110 20	0.9354838709677419 0.033402922755741124
61 92	0.06679764243614932 0.033402922755741124
61 92 18	0.06195751887657893 0.11169102296450939
61 92 18 18	0.03773487694553145 0.11691022964509394
61 92 18 27	0.07050143712355601 0.11064718162839249
61 92 18 83	0.035854105100818934 0.11691022964509394
61 92 18 92	0.07134127145793596 0.11064718162839249
61 92 19 84	0.028017931476144734 0.08037578288100208
61 92 27	0.2177570093457944 0.09603340292275574
61 92 27 18	0.04277791972707349 0.11899791231732777
61 92 27 27	0.12823519786183762 0.0918580375782881
61 92 27 83	0.04323282328097501 0.11899791231732777
61 92 27 92	0.11995412844036697 0.09394572025052192
61 92 27 99	0.6666666666666666 0.0010438413361169101
61 92 30	0.11904761904761904 0.0041753653444676405
61 92 33 98	0.08385308385308385 0.021920668058455117
61 92 45 110	0.02407539736186485 0.11691022964509394
61 92 77 12	0.22084073416222616 0.05219206680584551
61 92 77 20	0.2967741935483871 0.04801670146137787
61 92 83	0.06129731999160311 0.11169102296450939
61 92 83 18	0.04162356219706843 0.11691022964509394
61 92 83 27	0.05757861662439734 0.11064718162839249
61 92 83 83	0.04066254500419287 0.11691022964509394
61 92 85 20	0.2852517312371327 0.10334029227557412
61 92 85 40	0.004626638965029593 0.04384133611691023
61 92 86 21	0.4846037988452849 0.09290187891440502
61 92 86 61	0.14092927912538436 0.06680584551148225
61 92 92	0.21332694151486098 0.09290187891440502
61 92 92 27	0.15951829550717925 0.0918580375782881
61 92 92 83	0.041702502089020536 0.11691022964509394
61 92 92 92	0.14271130460891757 0.0918580375782881
61 92 95 30	0.07638084521957839 0.08977035490605428
61 92 105 20	0.36766220391349125 0.04384133611691023
61 92 105 40	0.23320754716981132 0.031315240083507306
61 92 126 21	0.4873708381171068 0.07620041753653445
61 93 21	0.7837837837837838 0.029227557411273485
61 93 21 83	0.008761682242990653 0.015657620041753653
61 93 28 52	0.01979896436186415 0.007306889352818371
61 93 28 99	0.10701047542304593 0.05219206680584551
61 93 30	0.7180616740088106 0.049060542797494784
61 93 52 99	0.12972972972972974 0.04697286012526096
